"","x"
"1","To pursue my tertiary education in a prestigious university and obtain the first class knowledge"
"2","To expand my contacts/ circle of friends  To attain local degree certification"
"3","Get a good degree   Participate in club activities"
"4","My main objectives are to gain exposure to the English literary canon and acquire the skills of literary analysis and presenting well constructed and supported arguments. Attaining a Bachelor's degree will also add to my employability."
"5","To learn what I'm interested in and experience life"
"6","Build a strong foundation in my specific discipline."
"7","getting my degree. having overseas exposure."
"8","Learn in depth about about my field such that I am equipped with relevant knowledge that is sought after by companies"
"9","All-rounded college life and exposure to industry"
"10","To get a job through the network that NTU has established.    To get a degree that is enjoyable to study."
"11","gaining professional knowledge"
"12","Be culturally relevant to the workforce  Understand myself better and know how to improve myself  Explore different potential career paths"
"13","Gain a reputable degree and a fun university life"
"14","1. Graduate with good results  2. Find a good job   3. Make lasting friendships   4. Enrich myself"
"15","To graduate with a bachelor degree"
"16","Learn new skills and make new friends."
"17","Is there have any possibility to lean the subject via internet instead of attend class, especially for part time student."
"18","Finding my life partner"
"19","Learning and exposure"
"20","Attain a degree in Psychology"
"21","learn indepth technical skills"
"22","Good understanding and practice about my major and preparation for future work from internship experiences"
"23","Get an expected results"
"24","Set up my own business using the skills taught in school."
"25","Prepare me for the workforce."
"26","1. Learn a language  2. Know more about the Communications industry and emerge with a multitude of skills (video editing, photoshop, research, writing skills etc.)  3. Go on an overseas exchange.  4. Do an internship to gain practical and realistic insights into the industry.  5. Make friendships that last!!!!"
"27","Have a global exposure  Equip myself with skills and knowledge for workforce  Build up my social network groups"
"28","ACADEMIC"
"29","To apply what i learn into workforce"
"30","Build good networks, learn life skills"
"31","Acquiring the knowledge of my course  Improving my other skills by participating in various activities   Exposure to academic research"
"32","Solid academic training, hall experience"
"33","To learn as much knowledge and skills about engineering, especially infocomm"
"34","To widen my network and knowledge"
"35","Get a well rounded education in my chosen major"
"36","Graduate with at least a second upper"
"37","Academia and student life"
"38","getting a degree"
"39","Obtain a degree and meeting new people"
"40","Have a fulfilling uni life"
"41","Achieve a second upper degree  Learning something relevant to the working world"
"42","Learn knowledge. Make friends. Gain soft skills. Find my career goal."
"43","broad education, good communication skills, lifelong friends"
"44","get a degree"
"45","to stand out in the competitive job market as well as to acquire requisite skills to embark on a successful career in my chosen path"
"46","Get a degree."
"47","Learn well"
"48","Degree"
"49","Getting experience"
"50","First Class Honors"
"51","undergranduate courses    Learning of Engineering    Learning of society between people"
"52","Gain excellent technical knowledge, research experience, fun in learning and find new friends!"
"53","To be able to become better person with professional skills"
"54","enrich myself with technical and soft skills"
"55","get a degree, meet more people"
"56","Learn enough in my time in NTU for my future career, and also have a fulfilling student life in NTU"
"57","academic achievement"
"58","Experiencing university life both academically and socially"
"59","quality education, freedom to learn whatever I want, being able to attain mastery in areas of my interest (both academically and otherwise)"
"60","meeting friends while gaining valuable experiences and knowledge."
"61","Getting the job I want"
"62","To be able to gain real applicable knowledge. However I felt everything I have learnt was too 'textbook'.    I specialised in Marketing at NBS. But felt I may have been better off going to WKW and choosing modules related to marketing and advertisements there. They seemed more real world."
"63","Understand the concepts and models of doing business, while expanding my networks and experiencing the university culture in Singapore."
"64","explore life  make friends  getting out of comfort zone"
"65","Get a degree and learn what i am interested in"
"66","facility"
"67","having a fulfilling university experience and prepare myself with the necessary skills to solve world engineering problems"
"68","To learn as much as i can while there's capable lecturers around"
"69","having fun and attaining my degree at the same time"
"70","Gain knowledge and skills to develop my career goal"
"71","valuable certificate and fulfilling uni life"
"72","Discover my full potential  To achieve self-confidence  To realise what I want to achieve in life"
"73","Get a degree. Get a girlfriend. Get a job."
"74","Further my study"
"75","Complete my undergraduate program. Know more people."
"76","Get my dream job"
"77","Learning more and pursuing an education for the sake of learning rather than GPA"
"78","Get a degree. Have a fulfilling school life."
"79","To pick up skills and and knowledge relevant to the course of study."
"80","Holistic international academic experience"
"81","1. improve professional competence  2. broaden my knowledge in different field  3. improve soft skills  4. be happy"
"82","To gain academic knowledge, widen my social circle and have fun before it is time to go out and work."
"83","Have en outstanding academic performance, and improved my socialization skills."
"84","To gain new knowledge, become skilled at something.  To find out what I actually wanted to do in the future, and to make wonderful new friends."
"85","Have a comprehensive knowledge that would allow me to achieve my job  Have a fulfilling exchange experience   Able to have internship that would get me ready for the real world"
"86","Gain more experience"
"87","Get a recognised bachelor degree to find to good job"
"88","1) Gain knowledge regarding the chosen field.   2) Learn the required tools to improve  3) Experience the tools to gain more knowledge in the future"
"89","Gain relevent knowledge, Make more friends"
"90","Have a overseas studies experience & a wonderful campus life"
"91","Be adequately equipped for future work  Make friends"
"92","Perdue a degree of my interest and apply my knowledge in a meaningful way."
"93","gain knowledge and have a fun and enjoyable environment. Know more friends"
"94","To get a qualified degree and gain my own knowledge."
"95","Enrich my experience, learn stuff I want to know"
"96","Skills upgrading. Engaging events."
"97","Find out more about the biomedical industry and career opportunities, learn useful skills"
"98","Goals"
"99","Career opportunities, expand knowledge base, and get a degree"
"100","Get a degree  Hands on experience handling live cells  Participate in CCA"
"101","Be a stellar researcher in my field"
"102","Inspiration to pursue my dream; motivation to make a positive impact, knowledge and opportunity to make change, in-depth knowledge"
"103","To have an enjoyable university life and to learn skills that are highly transferable to worklife"
"104","Learn more about my course and myself and widen my perspectives."
"105","To have more hands on skills that is applicable in industry instead of focusing too much on theory."
"106","Meet new friends and gaining knowledge to prepare myself for work in future"
"107","Fulfilling academic degree while having enriching experience via CCA and exchange"
"108","1. To learn my strengths and interests  2. To learn more on subjects related to my major  3. To know people from all walks of life"
"109","To experience a comprehensive education programme and garner technical skills important to my field of study/work"
"110","Achieve at least second upper honor degree  Find a job in year 4"
"111","Learn Engineering  Learn Variable Knowledge that are relevant in life (from electives)"
"112","Good hostel and campus experience.  Satisfaction in academical knowledge"
"113","Getting a good career"
"114","develop myself from various aspects"
"115","Learn how to react in the right way to different situations.  Learn how to deal with people.  Learn more about how the real world works.  Make good friends that I will keep for life.  To graduate."
"116","To get a good degree and job"
"117","Discover my passion. Extend my horizon of knowledge. Become a dynamic individual."
"118","Equipped with skills that is useful at workplace  Expand knowledge on other areas without any restrictions and reservations"
"119","Develop my ability to learn, global perspective"
"120","gain a good degree"
"121","Obtain my bachelors and start my life. Improve myself."
"122","to become a more comprehensive person, not only to gain knowledge in academic area, but also the chance expose to the other countries in exchange programme, and also the various experiences acquired when organizing an event."
"123","Learning knowledge, enjoying college life"
"124","Prepare for the workplace, become more confident"
"125","Achieve high level of proficiency in my degree  Have the necessary knowledge and skillsets to perform jobs that are relevant to my degree  Develop leadership skills and build a network of friends from school"
"126","Graduate with Upper 2nd Class. Vibrant college life while still being able to manage schoolwork."
"127","To participate in meaningful activities that can promote personal development and passion. To develop useful skills that can enhance employability."
"128","Get a good job after graduation"
"129","Learn academic knowledge, and do research and innovation"
"130","Learning important tools and skills that are relevant to help me in the future"
"131","Learning, enriching myself and meeting new friends"
"132","To earn skills that are irreplaceable, which are unique or at least take a long time to master and is sophisticated."
"133","Be a better person, meet new friends"
"134","to have an in-depth understanding of business and find out what I'm good at  to network and make friends for life  to be exposed to a highly intellectual environment that encourages training in analytical thinking"
"135","Learn for my career in telecom"
"136","- to upgrade myself into a more intellectual person with critical thinking and well-rounded soft skills. However, after 4 years, my academic trainings did not sufficiently increase my abilities, if not decreased."
"137","Have much fun while learning"
"138","Learn interesting technical subjects from knowledgeable professors  Meet people with passion"
